NameTH	NameEN	LastNameTH	LastNameEN	DepartmentTH	doc_count	cited_by_count
ดวงรัตน์ 	Daungrat 	กรสุวรรณสิน	Kornsuwansin	คณะทันตแพทยศาสตร์	0	0
ธีรวัฒน์ 	Terawat 	โตสิริวัฒนพงศ์	Tosiriwatanapong	คณะทันตแพทยศาสตร์	0	0
กอบชัย 	Kopchai 	ภูมิพาณิชย์	Poomparnich	คณะทันตแพทยศาสตร์	0	0
กัลยา 	Kanlaya 	อินทรีย์	Insee	คณะทันตแพทยศาสตร์	1	3
อาเทศรัจน์ 	Arthessarat 	ศิริสะอาด	Sirisa-ard	คณะทันตแพทยศาสตร์	1	0
วรภพ 	Worapop 	สุทธิวาทนฤพุฒิ	Suthiwartnarueput	คณะแพทยศาสตร์	7	14
กริชา 	Karicha 	ไม้เรียง	Mairaing	คณะแพทยศาสตร์	12	19
อาทิตย์ 	Arthit 	บุญยรางกูร	Boonyarangkul	คณะแพทยศาสตร์	4	4
เสกสันต์ 	Seksun 	ผลวัฒนะ	Polwattana	คณะศิลปศาสตร์	0	0
นพวรรณ 	Noppawan 	จารุสุสินธ์	Charususin	คณะสหเวชศาสตร์	5	25
จิตานันท์ 	Jitanan 	เหล่าศิริไพศาล	Laosiripisan	คณะสหเวชศาสตร์	3	26
ณิภัทรา 	Niphattra 	หริตวร	Haritavorn	คณะสาธารณสุขศาสตร์	11	70
มาลี 	Malee 	จิรวัฒนานนท์	Jirawattananon	คณะสังคมสงเคราะห์ศาสตร์	0	0
ปรียานุช 	Preeyanuch 	โชคธนวณิชย์	Choktanawanich	คณะสังคมสงเคราะห์ศาสตร์	0	0
ภูมินันท์ 	Bhuminan 	ปิยทัศน์นันท์	Piyathasanan	คณะพาณิชยศาสตร์และการบัญชี	1	1
สุรสิทธิ์ 	Surasit 	อมรวณิชศักดิ์	Amornwanitsak	คณะศิลปศาสตร์	0	0
บุญช่วย 	Boonchuey 	เกิดรี	Kirdree	คณะศิลปกรรมศาสตร์	0	0
สุดาทิพย์ 	Sudathip 	จันทร	Chantorn	คณะวิทยาศาสตร์และเทคโนโลยี	0	0
ทรงยศ 	Songyot 	นาคอริยกุล	Nakariyalul	คณะวิศวกรรมศาสตร์	0	0
วีรชัย 	Weerachai 	อโณทัยไพบูลย์	Anotaipaiboon	คณะวิศวกรรมศาสตร์	6	93
